id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
21672,F,1.425,1.1,0.4125,24.99008425,12.1619355,5.3580555,6.9456275,9
21673,M,1.525,1.175,0.4875,27.0737725,10.67358675,5.76912325,7.93786,11
21674,I,0.8375,0.65,0.2375,5.06038575,2.6365035,1.247378,1.5592225,7
21675,M,1.3625,0.9625,0.3125,21.13455225,6.9456275,4.89028875,7.2291225,13
21676,I,1.375,1.075,0.35,20.184844,8.57572375,4.309124,6.3786375,9
21677,F,1.55,1.2,0.4125,32.16250775,14.35902175,6.917278,10.0640725,11
21678,M,1.6,1.275,0.4625,34.23202125,13.891255,7.6827145,11.3398,11
21679,I,0.825,0.625,0.1875,4.819415,2.11203775,1.14815475,1.13398,6
21680,I,1.375,1.0375,0.375,21.885814,9.70970375,4.8477645,6.27941425,10
21681,I,0.9,0.675,0.25,6.53455975,3.04757125,0.9922325,1.71514475,6
21682,F,1.4875,1.2125,0.4875,46.5988105,22.6796,11.49572225,11.623295,9
21683,I,1.35,1.05,0.3375,21.72989175,9.48290775,4.53592,5.96756975,9
21684,I,0.9375,0.7125,0.2,6.8322295,2.45223175,1.0489315,1.984465,9
21685,I,1.5,1.2625,0.4,35.19590425,13.7495075,7.86698625,8.9300925,15
21686,I,1.375,1.0375,0.375,21.72989175,9.6104805,4.989512,5.953395,9
21687,I,0.8,0.5,0.2125,3.061746,1.60174675,0.963883,0.9922325,6
21688,M,1.45,1.1375,0.375,27.8108595,10.8011595,5.726599,8.0796075,14
21689,F,1.2,0.975,0.3125,17.7184375,7.92368525,4.8477645,4.9611625,9
21690,F,1.5,1.175,0.3875,28.44872325,12.8423235,7.38504475,7.200773,9
21691,F,1.725,1.2875,0.4375,49.90929475,21.8007655,11.396499,10.489315,18
21692,M,1.5125,1.1875,0.4375,33.38153625,11.75086775,8.83086925,9.7805775,17
21693,F,1.4625,1.1625,0.375,29.72445075,11.0846545,6.42116175,8.221355,16
21694,I,1.375,1.0375,0.375,21.885814,9.14271375,6.76135575,7.2291225,10
21695,F,1.5125,1.2375,0.425,35.777069,13.70698325,6.47786075,10.3475675,15
21696,F,1.3,1.025,0.325,18.597272,6.95980225,4.6776675,5.8116475,10
21697,F,1.5625,1.25,0.475,37.137845,15.77649675,9.241937,11.7650425,14
21698,I,0.95,0.6875,0.2375,7.55514175,3.118445,1.7293195,2.1262125,7
21699,F,1.425,1.125,0.3875,28.5479465,12.71475075,6.123492,8.3631025,11
21700,F,1.45,1.125,0.3875,26.52095725,11.35397475,5.57067675,8.221355,11
21701,I,1.2875,1.0125,0.375,17.7184375,6.98815175,3.7137845,6.6621325,11
21702,M,1.2625,0.9625,0.3375,18.01610725,8.391452,4.025629,5.5281525,8
21703,M,1.4875,1.075,0.3875,27.4139665,11.0846545,6.350288,8.788345,10
21704,F,1.3875,1.1125,0.375,27.20134525,9.6104805,5.6699,8.3631025,18
21705,F,1.15,0.9125,0.3125,14.35902175,4.932813,3.10427025,4.53592,9
21706,M,1.05,0.775,0.25,10.33339275,4.46504625,2.25378525,2.9766975,7
21707,I,0.9875,0.75,0.225,7.10154975,3.005047,1.00640725,2.14038725,7
21708,I,0.8375,0.6,0.25,6.577084,2.42388225,1.40330025,2.26796,6
21709,M,1.5,1.2,0.4,29.766975,12.587178,6.19436575,8.9300925,13
21710,I,1.2,0.925,0.3125,14.81261375,6.4920355,2.9199985,4.3941725,8
21711,M,1.6875,1.35,0.4375,39.745999,13.6928085,8.80251975,13.1825175,15
21712,M,1.225,0.975,0.3375,18.61144675,7.427569,5.20213325,4.9611625,8
21713,M,1.575,1.2125,0.4125,34.302895,20.68096025,7.61184075,8.3631025,11
21714,F,1.575,1.25,0.4375,36.3724085,11.2547515,7.01650125,12.6155275,16
21715,I,0.9375,0.6875,0.2125,6.0384435,2.6932025,1.3891255,2.26796,7
21716,M,1.55,1.2,0.45,34.529691,15.03940975,7.824462,8.9300925,11
21717,I,0.9375,0.6875,0.225,7.9095105,3.1467945,1.51669825,1.8427175,6
21718,I,0.85,0.6375,0.175,5.06038575,2.31048425,1.34660125,1.5592225,5
21719,F,1.525,1.2125,0.4125,29.49765475,11.8784405,7.484268,8.50485,12
21720,F,1.4125,1.275,0.4125,27.952607,11.4815475,6.39281225,7.2291225,11
21721,F,1.5125,1.2,0.4,30.1355185,13.53688625,6.93145275,8.50485,10
21722,F,1.5625,1.2125,0.45,32.0632845,12.0485375,6.3786375,8.788345,15
21723,M,1.6,1.2875,0.4125,41.39027,17.0097,8.29222875,11.623295,10
21724,F,1.575,1.175,0.4125,33.26813825,12.57300325,6.350288,9.07184,11
21725,M,1.425,1.125,0.4875,33.83512825,10.44679075,5.5281525,10.6310625,13
21726,I,0.725,0.525,0.175,3.16096925,1.1056305,0.80796075,1.13398,3
21727,I,0.7125,0.5375,0.2,3.9405805,1.360776,0.737087,0.9922325,5
21728,I,1.0,0.8125,0.225,7.9095105,3.27436725,1.70097,2.1262125,6
21729,F,1.6125,1.325,0.5,40.993377,18.9091165,8.34892775,11.056305,11
21730,M,1.8375,1.475,0.3875,41.82968725,18.0586315,9.65300475,11.90679,10
21731,M,1.3375,1.0375,0.4,22.1976585,8.32057825,4.479221,7.5126175,10
21732,M,1.625,1.3,0.4125,34.06192425,15.43630275,6.3219385,8.6465975,10
21733,I,1.25,0.95,0.3375,16.9813505,7.55514175,3.8271825,4.23825025,18
21734,M,1.1,0.8125,0.2875,11.18387775,5.953395,2.16873675,3.40194,12
21735,M,1.3125,1.0,0.3625,22.80717275,7.200773,5.8116475,8.0796075,14
21736,M,1.6125,1.225,0.5,40.49726075,18.0586315,7.767763,10.20582,10
21737,F,1.3,1.0375,0.45,25.16018125,11.4248485,6.860579,8.0796075,14
21738,F,1.475,1.125,0.4125,28.36367475,11.8784405,6.95980225,8.788345,12
21739,F,1.5625,1.225,0.4625,34.20367175,15.1669825,8.221355,8.107957,10
21740,M,1.6125,1.25,0.475,37.194544,15.06775925,8.60407325,11.3398,17
21741,I,1.45,1.175,0.375,25.27357925,10.2908685,5.45727875,7.12989925,11
21742,M,1.4375,1.125,0.375,26.308336,12.06271225,5.1879585,7.37087,9
21743,I,0.9,0.675,0.225,6.4920355,2.948348,1.17650425,1.984465,8
21744,F,1.4875,1.225,0.425,35.47939925,14.27397325,8.29222875,8.3631025,11
21745,F,1.5625,1.2,0.375,37.35046625,15.46465225,8.901743,10.0640725,12
21746,F,1.425,1.1125,0.3375,26.705229,11.35397475,4.94698775,6.36446275,9
21747,F,1.5625,1.2125,0.35,31.53881875,15.1669825,5.5281525,7.93786,9
21748,F,1.7,1.3,0.5,47.513762,18.86659225,10.70193625,13.324265,17
21749,M,1.625,1.2625,0.3875,39.76017375,19.46193175,8.37727725,8.9300925,9
21750,I,0.6375,0.4625,0.1625,2.08368825,0.793786,0.226796,0.7654365,6
21751,M,1.2125,0.9625,0.3125,17.2648455,6.7755305,2.721552,6.23689,14
21752,F,1.525,1.2125,0.4,31.19862475,15.6772735,6.350288,8.9300925,10
21753,F,1.55,1.25,0.4375,33.5374585,14.13222575,8.51902475,8.9300925,11
21754,I,1.4,1.1,0.3375,22.75047375,9.922325,4.57844425,7.3425205,11
21755,I,1.3,1.05,0.3875,21.8007655,8.88756825,4.40834725,5.6699,11
21756,M,1.525,1.1875,0.375,30.277266,11.07047975,6.406987,9.2135875,14
21757,I,1.1875,0.9125,0.2875,13.8062065,6.4920355,2.3530085,3.8271825,8
21758,F,1.475,1.1625,0.375,31.19862475,16.6411565,4.706017,7.5126175,10
21759,I,0.575,0.4375,0.1375,1.80019325,0.7654365,0.35436875,0.4252425,5
21760,I,1.1625,0.8375,0.2875,12.47378,5.1312595,2.438057,3.2034935,10
21761,F,1.4,1.1625,0.4125,25.16018125,9.48290775,6.23689,7.64019025,9
21762,M,1.175,0.875,0.3125,13.53688625,5.34388075,2.50893075,4.9611625,9
21763,M,1.25,1.025,0.3125,18.27125275,8.03708325,4.01145425,5.10291,7
21764,I,1.1875,0.8875,0.25,14.10387625,6.73300625,2.8066005,3.96893,8
21765,F,1.6375,1.3125,0.4625,45.99706375,18.58309725,8.4765005,13.324265,15
21766,M,1.4875,1.1875,0.4,30.390664,13.79203175,5.216308,8.788345,15
21767,F,1.6,1.25,0.4125,39.63124075,19.54698025,7.52679225,8.9300925,9
21768,M,1.675,1.3,0.5,44.0834725,18.313777,8.85921875,13.437663,11
21769,F,1.7625,1.2875,0.5125,57.13064975,26.7902775,11.38232425,20.128145,10
21770,I,0.875,0.6625,0.1875,6.3786375,2.381358,1.51669825,1.8427175,6
21771,F,1.6,1.25,0.4625,37.1094955,15.4504775,7.41339425,10.489315,12
21772,M,0.6375,0.475,0.15,2.0695135,0.75126175,0.52446575,0.7087375,3
21773,I,0.9125,0.675,0.2375,6.917278,2.7499015,1.0489315,1.8427175,6
21774,M,1.2125,0.8875,0.4,13.154168,6.2652395,3.005047,6.7755305,9
21775,F,1.4375,1.125,0.375,24.720764,9.865626,4.63514325,7.37087,11
21776,F,1.3125,1.1,0.3625,22.566202,9.42620875,5.82582225,6.0951425,10
21777,M,1.5625,1.2375,0.475,38.88133925,16.42853525,8.83086925,10.5176645,13
21778,I,1.15,0.8625,0.2375,11.77921725,5.613201,2.50893075,3.0333965,8
21779,F,1.35,1.0125,0.3875,27.54153925,9.14271375,5.499803,8.221355,12
21780,F,1.4625,1.2125,0.3625,27.45649075,12.1052365,5.17378375,7.7961125,12
21781,M,1.1875,0.925,0.225,15.35125425,7.04485075,2.84912475,4.3941725,8
21782,M,1.6375,1.3125,0.4625,39.87357175,19.391058,9.7238785,10.61688775,11
21783,M,1.425,1.125,0.375,27.34309275,12.190285,5.3580555,7.5126175,10
21784,F,1.175,0.925,0.3125,14.04717725,6.0951425,3.2034935,4.0539785,9
21785,F,1.625,1.2625,0.425,34.26037075,15.5638755,8.448151,11.3398,12
21786,I,0.9875,0.7625,0.2125,6.4920355,2.70737725,2.041164,1.871067,7
21787,F,1.55,1.2,0.4125,32.16250775,11.15552825,6.13766675,9.922325,13
21788,I,1.3,1.0375,0.3375,20.638436,9.8372765,4.20990075,5.2446575,7
21789,M,1.4375,1.125,0.375,24.4656185,10.432616,4.53592,7.1724235,9
21790,M,1.3125,1.05,0.3125,19.1359125,8.51902475,3.72795925,5.273007,8
21791,M,1.4,1.1375,0.375,28.066005,12.6155275,6.4920355,7.654365,8
21792,I,1.1375,0.875,0.275,12.43125575,5.1312595,2.42388225,4.32329875,8
21793,F,1.3,1.0,0.3625,22.01338675,9.99319875,4.86193925,5.2446575,8
21794,M,1.5625,1.25,0.425,32.10580875,17.293195,6.33611325,8.50485,9
21795,M,1.1125,0.875,0.275,12.99824575,5.74077375,2.87747425,3.685435,8
21796,M,1.4875,1.125,0.4375,31.96406125,13.96212875,6.1518415,9.4970825,12
21797,M,1.55,1.2125,0.4,32.98464325,10.18892475,7.35669525,10.0640725,17
21798,M,1.5875,1.2375,0.425,32.36095425,13.53688625,6.53455975,8.3631025,13
21799,F,1.6625,1.3375,0.4625,45.7277435,16.726205,9.241937,14.0330025,12
21800,F,1.6125,1.2125,0.4625,40.24211525,19.09338825,9.82310175,9.22776225,11
21801,I,1.125,0.875,0.2875,12.54465375,5.71242425,2.65067825,3.40194,7
21802,M,1.5125,1.2125,0.4,29.49765475,11.12717875,7.484268,8.50485,13
21803,I,1.375,1.025,0.375,21.72989175,7.27164675,5.4714535,7.7961125,11
21804,M,1.5,1.175,0.4625,29.18581025,12.00601325,6.22271525,8.0796075,11
21805,I,1.0375,0.8125,0.2625,10.98543125,4.422522,2.67902775,2.9766975,8
21806,M,1.425,1.1,0.3375,25.8263945,10.829509,5.76912325,7.66853975,10
21807,M,1.6,1.25,0.4125,32.41765325,13.60776,7.01650125,9.7805775,11
21808,I,0.9625,0.725,0.225,7.2858215,2.721552,1.8427175,2.1262125,6
21809,M,0.9,0.675,0.225,6.39281225,2.50893075,1.13398,2.551455,6
21810,M,1.375,1.1125,0.3125,26.54930675,11.169703,5.68407475,8.221355,9
21811,F,1.2,0.9125,0.325,15.77649675,6.2085405,3.95475525,5.386405,12
21812,I,1.325,0.95,0.3,17.4349425,9.865626,3.288542,4.7343665,9
21813,M,1.325,0.9625,0.325,18.10115575,8.06543275,4.025629,4.819415,7
21814,M,1.3875,1.125,0.3625,25.9397925,11.8784405,5.8683465,6.973977,10
21815,I,1.0125,0.7875,0.2125,8.71747125,3.40194,1.51669825,2.33883375,7
21816,M,1.5625,1.2375,0.4375,38.88133925,16.4143605,6.76135575,11.90679,20
21817,I,0.7125,0.5375,0.175,3.061746,1.5025235,0.7654365,0.9922325,5
21818,F,1.3625,1.025,0.3125,19.85882475,8.448151,5.216308,5.5281525,9
21819,M,1.575,1.2125,0.375,35.36600125,16.6411565,8.051258,9.922325,10
21820,F,1.3125,1.0125,0.3,18.313777,6.4920355,3.9972795,5.386405,8
21821,F,1.55,1.1375,0.4,36.61337925,16.82542825,8.54737425,9.7805775,11
21822,M,1.425,1.0875,0.3875,24.2955215,10.092422,4.932813,7.93786,8
21823,F,1.5375,1.1625,0.4125,31.42542075,14.0330025,7.52679225,7.72523875,10
21824,I,1.0,0.75,0.2375,8.618248,3.98310475,1.94194075,2.50893075,9
21825,F,1.6625,1.3125,0.4,38.68289275,17.22232125,7.9095105,10.0640725,11
21826,I,0.4625,0.3375,0.15,0.89300925,0.29766975,0.21262125,0.26932025,4
21827,I,1.45,1.125,0.375,24.6357155,9.0434905,5.2446575,7.1724235,9
21828,F,1.6625,1.2125,0.4125,38.2434755,16.96717575,9.00096625,10.20582,11
21829,I,1.0875,0.8375,0.2625,10.02154825,4.422522,1.417475,3.21766825,9
21830,F,1.2875,0.9875,0.3125,16.102516,8.9867915,3.86970675,4.6776675,7
21831,F,1.525,1.125,0.4,30.8726055,10.6877615,7.64019025,9.36950975,12
21832,I,0.9375,0.725,0.225,5.57067675,2.48058125,1.13398,1.871067,9
21833,M,1.2875,1.0125,0.3125,20.31241675,8.34892775,4.46504625,5.85417175,9
21834,I,1.175,0.8875,0.3,14.004653,6.25106475,2.45223175,4.649318,8
21835,I,1.175,0.8875,0.275,11.2547515,5.5848515,2.33883375,3.8271825,6
21836,F,1.55,1.225,0.425,34.31706975,14.69921575,7.24329725,9.4970825,10
21837,I,1.2875,0.9625,0.35,17.78931125,7.27164675,3.8838815,4.3941725,8
21838,F,1.4,1.0375,0.3875,28.689694,10.149121,5.71242425,9.63883,19
21839,I,0.9625,0.725,0.2125,7.540967,3.30271675,1.7293195,2.1262125,7
21840,I,0.9625,0.75,0.25,8.12213175,2.551455,1.190679,2.4097075,8
21841,F,1.6125,1.2,0.4875,38.76794125,14.21727425,8.60407325,10.84368375,13
21842,M,1.3,1.025,0.3375,19.80212575,8.51902475,4.139027,5.953395,9
21843,M,1.55,1.2,0.375,31.22697425,13.53688625,5.726599,8.6465975,11
21844,I,1.2875,1.0625,0.3875,21.92833825,9.7238785,3.4869885,5.6699,8
21845,I,0.9875,0.6875,0.2375,6.87475375,3.005047,1.37495075,5.953395,6
21846,F,1.425,1.1375,0.3625,33.0838665,19.674553,4.8477645,7.654365,10
21847,F,1.5125,1.2,0.3875,33.12639075,13.65028425,6.67630725,10.489315,11
21848,F,1.4375,1.1,0.375,24.323871,10.41844125,5.76912325,7.654365,9
21849,I,0.8125,0.6,0.2,4.819415,1.7860185,1.190679,1.40330025,7
21850,F,1.3625,1.15,0.4125,25.44367625,9.6671795,5.48562825,9.7805775,14
21851,F,1.6375,1.3125,0.4375,41.730464,17.78931125,7.654365,12.757275,11
21852,M,1.575,1.225,0.4,33.962701,13.947954,7.78193775,9.922325,12
21853,F,1.425,1.1,0.475,26.365035,10.61688775,6.22271525,7.5126175,10
21854,F,1.2875,0.9625,0.3,19.57532975,7.257472,3.10427025,6.6621325,8
21855,I,1.25,0.9625,0.3125,15.71979775,6.70465675,2.90582375,4.876114,9
21856,M,1.475,1.225,0.4,30.80173175,13.380964,7.7961125,8.0796075,14
21857,I,1.0625,0.8125,0.3125,11.43902325,4.706017,2.14038725,3.2601925,7
21858,M,1.1875,0.925,0.3125,13.1258185,5.273007,2.67902775,4.025629,8
21859,M,1.5,1.225,0.3875,33.35862775,13.96212875,8.80251975,9.4970825,9
21860,M,1.1875,0.9,0.3375,13.551061,4.89028875,2.65067825,4.9611625,12
21861,F,1.5625,1.2125,0.375,33.89182725,16.57028275,8.12213175,8.50485,10
21862,M,1.5625,1.2,0.4125,34.5013415,14.855138,7.41339425,12.190285,11
21863,M,1.0625,0.8625,0.275,12.927372,5.159609,2.8066005,3.685435,10
21864,I,1.1875,0.9375,0.2875,14.628342,5.65572525,3.58621175,4.819415,10
21865,F,1.4125,1.1625,0.375,26.09571475,10.64523725,5.8116475,7.2291225,12
21866,M,1.5125,1.225,0.4375,34.9549335,13.154168,8.334753,10.3475675,16
21867,M,1.425,1.0875,0.3625,24.99008425,10.21999475,5.839997,7.2291225,8
21868,F,1.35,1.0625,0.4,27.9242575,7.93786,4.1673765,9.7805775,14
21869,F,1.275,0.975,0.2875,18.69649525,9.62465525,4.57844425,4.762716,9
21870,I,1.1875,0.8875,0.3125,14.628342,5.71242425,3.69960975,4.6776675,8
21871,M,1.4875,1.1625,0.375,30.51823675,13.9196045,5.8683465,8.1363065,13
21872,F,1.4875,1.1875,0.4125,30.674159,13.2392165,6.2085405,8.788345,10
21873,I,1.1,0.875,0.3125,12.927372,5.953395,2.70737725,4.53592,8
21874,I,1.05,0.8125,0.2375,10.149121,4.46504625,2.4664065,2.67902775,7
21875,I,1.3125,1.025,0.375,21.885814,10.489315,4.7343665,5.386405,9
21876,F,1.725,1.3625,0.4625,45.91201525,18.5689225,9.68135425,13.4660125,9
21877,M,1.7,1.3375,0.5,49.34230475,20.071446,9.015141,14.5999925,11
21878,I,0.6375,0.475,0.15,2.438057,1.190679,0.396893,0.7087375,5
21879,I,1.075,0.8125,0.2375,9.07184,4.46504625,1.8427175,2.4664065,8
21880,I,1.0,0.75,0.225,8.107957,3.912231,1.7293195,2.26796,6
21881,I,0.925,0.6875,0.25,6.39281225,2.948348,1.2190285,2.1262125,7
21882,M,1.5875,1.35,0.4625,39.87357175,14.04717725,8.391452,11.056305,15
21883,M,1.55,1.2,0.3375,31.53881875,15.97494325,6.98815175,7.93786,9
21884,F,1.5125,1.25,0.4625,31.19862475,11.8784405,7.3992195,9.4970825,16
21885,I,1.0625,0.8125,0.275,9.45455825,4.9044635,1.2757275,2.83495,6
21886,I,0.9375,0.7125,0.225,8.63242275,3.1467945,1.68679525,2.45223175,15
21887,I,1.2625,0.975,0.3375,17.61921425,9.87980075,3.33106625,5.20213325,8
21888,M,1.575,1.2,0.425,36.55668025,15.46465225,8.68912175,9.922325,9
21889,I,1.025,0.75,0.2375,8.5331995,3.35941575,1.9561155,2.551455,6
21890,M,1.05,0.7875,0.225,7.9095105,3.33106625,1.7293195,2.4097075,16
21891,F,1.5875,1.2,0.4125,34.65726375,15.592225,7.41339425,10.0640725,11
21892,I,0.8,0.6,0.2125,4.32329875,1.77184375,0.89300925,1.247378,7
21893,I,1.1,0.8875,0.275,12.99824575,5.6699,2.50893075,3.96893,8
21894,I,1.35,1.075,0.375,20.22736825,9.468733,3.9405805,6.23689,9
21895,M,1.2125,0.9625,0.3,14.5999925,6.633783,3.231843,3.685435,7
21896,F,1.575,1.2125,0.475,36.457457,11.07047975,8.391452,11.3398,21
21897,I,1.35,1.075,0.35,23.11901725,11.3114505,4.89028875,6.0951425,10
21898,M,1.2,0.9375,0.3375,14.401546,5.953395,2.9199985,4.819415,8
21899,F,1.5875,1.2625,0.4375,36.4291075,16.612807,8.43397625,10.56018875,10
21900,M,1.175,0.8875,0.325,13.8062065,5.54232725,2.36718325,3.572037,8
21901,F,1.4125,1.1,0.4125,24.153774,9.8372765,5.10291,7.5126175,12
21902,M,1.5125,1.1875,0.425,29.1716355,12.6722265,6.78970525,8.50485,9
21903,I,1.1,0.85,0.2625,10.27669375,4.9611625,2.36718325,3.798833,8
21904,I,1.1875,0.9,0.275,13.53688625,6.59125875,2.6365035,3.8271825,8
21905,M,1.325,1.0625,0.3375,18.46969925,6.95980225,4.72019175,6.80388,15
21906,M,1.475,1.2,0.3625,25.86891875,10.19164525,5.17378375,9.07184,13
21907,M,1.575,1.2625,0.4125,35.19590425,13.7495075,7.86698625,8.9300925,15
21908,F,1.2625,0.975,0.3,18.5122235,7.93786,4.7343665,4.7343665,11
21909,F,1.55,1.2,0.4,33.40988575,14.69921575,7.030676,9.4970825,9
21910,I,1.0625,0.8125,0.25,10.9145575,4.6776675,2.08368825,2.6932025,7
21911,F,1.675,1.3625,0.5,45.2741515,17.81766075,10.53183925,12.190285,12
21912,F,1.525,1.175,0.425,32.13415825,10.9712565,12.48795475,9.4970825,20
21913,I,1.4375,1.125,0.375,26.32251075,12.82814875,5.76912325,7.7961125,10
21914,M,1.6,1.3,0.475,41.82968725,16.79707875,9.5537815,13.324265,13
21915,I,0.925,0.7,0.2,4.55009475,1.814368,0.92135875,1.417475,7
21916,F,1.7,1.35,0.4875,54.7995835,22.49532825,9.2135875,13.891255,11
21917,F,1.8,1.4125,0.575,51.7378375,23.09066775,11.38232425,17.57669,17
21918,M,1.4125,1.0125,0.3375,20.97863,10.489315,4.479221,6.0951425,12
21919,F,1.125,0.8875,0.3125,13.0691195,5.40057975,3.24601775,3.96893,14
21920,M,1.6625,1.2875,0.45,39.7743485,17.4349425,8.43397625,11.7650425,11
21921,I,1.25,0.95,0.3,16.839603,9.63883,3.41611475,3.855532,8
21922,F,1.5125,1.1875,0.4375,33.12639075,14.10387625,7.257472,8.50485,9
21923,M,1.5625,1.1875,0.375,27.1871705,12.94154675,6.90310325,8.9300925,11
21924,I,0.4,0.2625,0.075,0.850485,0.2551455,0.21262125,0.1417475,7
21925,I,1.0875,0.8375,0.25,10.716111,4.8477645,1.8427175,3.8271825,7
21926,M,1.4625,1.1375,0.3875,31.5529935,16.4710595,5.25883225,7.5126175,9
21927,M,1.15,0.9125,0.3,13.08329425,5.03203625,3.01922175,4.53592,7
21928,I,0.925,0.6875,0.2375,6.27941425,2.67902775,1.26155275,1.7860185,5
21929,F,1.2625,0.975,0.3125,15.7339725,6.0384435,3.4869885,4.35164825,12
21930,M,1.3125,1.075,0.4,22.80717275,10.375917,5.23048275,6.9456275,8
21931,M,1.625,1.3125,0.4125,39.02308675,16.51358375,9.4970825,10.9145575,10
21932,I,1.2125,0.925,0.3125,16.45688475,7.10154975,4.06815325,4.819415,8
21933,F,1.45,1.1375,0.475,26.64853,11.3398,5.68407475,8.97261675,17
21934,I,0.8875,0.7,0.25,7.087375,2.721552,2.097863,2.26796,7
21935,I,0.8875,0.7,0.225,6.0951425,2.381358,1.70097,2.551455,9
21936,F,1.325,1.05,0.3375,23.51591025,10.5176645,4.7343665,5.8116475,8
21937,I,0.6875,0.5,0.1625,2.93417325,1.34660125,0.58116475,0.850485,9
21938,M,1.5625,1.3125,0.4125,31.071052,13.154168,6.690482,10.489315,11
21939,M,0.8625,0.6375,0.2,6.13766675,2.62232875,1.0489315,1.984465,8
21940,F,1.5,1.2125,0.4375,33.89182725,13.947954,7.0023265,10.489315,15
21941,M,1.5625,1.2125,0.4,34.06192425,17.61921425,6.010094,8.788345,10
21942,I,1.1375,0.9,0.25,12.74310025,5.0178615,2.948348,4.252425,8
21943,F,1.3,1.025,0.275,20.638436,9.87980075,4.32329875,6.6621325,9
21944,F,1.325,1.1,0.325,20.51086325,8.561549,4.01145425,5.3580555,11
21945,F,1.4625,1.0,0.3625,26.43590875,9.468733,6.93145275,8.50485,13
21946,M,1.25,1.0,0.375,19.43358225,8.54737425,5.20213325,5.8116475,12
21947,F,1.65,1.3125,0.4,39.405805,19.6462035,6.59125875,10.489315,10
21948,I,0.875,0.625,0.1875,4.8477645,2.0128145,1.00640725,1.417475,6
21949,I,0.7375,0.55,0.1875,3.72795925,1.247378,0.9922325,1.417475,6
21950,F,1.5625,1.175,0.4375,38.03085425,18.1720295,7.98038425,9.31281075,10
21951,F,1.425,1.0625,0.325,26.80445225,10.41844125,5.68407475,8.3631025,13
21952,I,1.6625,1.275,0.4125,36.78347625,17.10892325,8.2497045,10.19164525,9
21953,F,1.375,1.075,0.4,23.91280325,10.02154825,5.8683465,6.80388,9
21954,I,1.1875,0.9125,0.3,11.55242125,4.60679375,2.31048425,3.8271825,7
21955,F,1.575,1.2625,0.4875,35.02580725,13.70698325,9.8939755,10.75863525,10
21956,M,1.3125,1.0,0.325,19.06503875,9.525432,3.40194,5.17378375,9
21957,F,1.25,0.975,0.3375,18.01610725,8.51902475,4.60679375,5.2446575,13
21958,F,1.5,1.175,0.4,29.9654215,13.6928085,6.87475375,7.5126175,9
21959,M,1.4875,1.1375,0.35,30.1922175,13.79203175,7.314171,8.0796075,9
21960,I,0.9375,0.7,0.2125,7.654365,2.721552,1.7293195,2.26796,6
21961,M,1.35,1.0875,0.425,29.72445075,9.87980075,6.066793,10.489315,18
21962,F,1.5125,1.2125,0.4125,35.36600125,16.1308655,8.34892775,9.355335,9
21963,M,1.55,1.2,0.4375,27.68328675,12.23280925,5.726599,9.4970825,9
21964,F,1.4375,1.125,0.3625,26.69105425,13.494362,5.23048275,6.0951425,10
21965,M,1.3,1.0,0.3625,18.46969925,7.3992195,3.742134,6.23689,12
21966,M,1.475,1.15,0.4,24.38057,9.48290775,6.02426875,6.9456275,12
21967,M,1.75,1.45,0.5,50.8306535,21.2337755,13.551061,13.891255,11
21968,F,1.45,1.1625,0.375,31.25532375,15.46465225,7.427569,7.087375,9
21969,F,1.4625,1.125,0.375,27.895908,12.26115875,5.8683465,8.6465975,16
21970,I,1.4375,1.125,0.35,23.643483,10.73028575,4.932813,7.654365,10
21971,M,1.45,1.1,0.375,26.3933845,9.82310175,6.08096775,7.52679225,9
21972,F,1.4,1.1,0.375,27.0170735,11.4248485,6.80388,7.5126175,9
21973,F,1.625,1.25,0.4,31.808139,12.60135275,6.463686,8.66077225,15
21974,M,1.55,1.2,0.4,30.94347925,14.04717725,7.767763,8.50485,10
21975,I,0.8875,0.7125,0.2375,6.44951125,2.70737725,1.28990225,2.1262125,6
21976,F,1.2125,1.0,0.4,18.71067,7.01650125,3.628736,6.0951425,18
21977,M,1.5625,1.2,0.4125,30.7592075,13.16834275,6.973977,7.427569,11
21978,M,1.3125,1.0,0.3625,17.78931125,6.87475375,4.32329875,5.10291,9
21979,F,1.6125,1.225,0.4,35.72037,17.50581625,8.83086925,8.731646,9
21980,M,1.55,1.2,0.425,35.6920205,16.0174675,8.448151,8.788345,9
21981,M,1.5625,1.2125,0.3875,49.31395525,16.20173925,7.89533575,8.71747125,12
21982,M,1.5625,1.225,0.4125,32.16250775,13.947954,8.334753,9.922325,9
21983,F,1.4125,1.0625,0.3375,23.40251225,11.01378075,5.79747275,5.783298,9
21984,F,1.425,1.1,0.375,24.9192105,9.8372765,4.86193925,7.2291225,10
21985,F,1.5625,1.2375,0.4375,36.0322145,16.4143605,8.54737425,9.63883,11
21986,M,1.525,1.125,0.425,24.9192105,8.561549,5.0745605,7.087375,15
21987,M,1.6125,1.275,0.3875,43.6298805,18.15785475,10.16329575,12.190285,10
21988,M,1.4875,1.175,0.425,31.19862475,13.380964,7.6827145,9.07184,10
21989,I,1.1,0.825,0.225,10.8011595,4.2240755,2.33883375,2.9766975,7
21990,M,1.4625,1.2375,0.4625,28.803092,9.695529,5.57067675,9.922325,17
21991,F,1.25,0.9375,0.3,16.85377775,5.7549485,3.35941575,5.2446575,12
21992,I,0.9125,0.7125,0.3375,6.27941425,2.6932025,1.26155275,2.1262125,7
21993,M,1.65,1.2625,0.4125,37.52056325,15.46465225,9.22776225,10.0640725,9
